roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade
std-5447,female,group D,master's degree,1,1,46,73,96,64,279,B
std-5448,female,group D,some high school,1,1,77,38,87,69,271,B
std-5449,female,group A,associate's degree,0,0,94,50,28,76,248,C
std-5450,female,group D,some high school,0,0,64,97,58,87,306,B
std-5451,female,group E,high school,1,0,74,80,74,68,296,B
std-5452,female,group D,associate's degree,1,0,61,76,72,63,272,B
std-5453,female,group A,master's degree,0,1,54,87,86,74,301,B
std-5454,female,group B,associate's degree,1,0,87,93,64,62,306,B
std-5455,female,group D,some high school,1,1,59,70,59,51,239,C
std-5456,female,group A,some high school,1,1,34,72,63,77,246,C
std-5457,female,group D,high school,0,0,72,48,99,70,289,B
std-5458,female,group E,bachelor's degree,0,1,67,88,91,83,329,A
std-5459,female,group C,some high school,0,1,80,37,82,76,275,B
std-5460,female,group C,associate's degree,1,1,93,43,71,92,299,B
std-5461,female,group B,some high school,1,0,49,35,91,54,229,C
std-5462,female,group D,associate's degree,1,0,63,71,41,70,245,C
std-5463,female,group C,associate's degree,0,0,43,72,94,62,271,B
std-5464,female,group E,some college,1,0,61,70,79,93,303,B
std-5465,female,group E,some college,1,0,59,81,88,82,310,B
std-5466,female,group B,some college,1,0,87,93,60,37,277,B
std-5467,female,group D,associate's degree,0,0,48,45,45,49,187,D
std-5468,female,group D,some college,1,0,61,71,75,31,238,C
std-5469,female,group A,some college,0,0,95,47,46,82,270,B
std-5470,female,group A,high school,1,0,71,26,94,42,233,C
std-5471,female,group D,some college,1,1,52,85,70,39,246,C
std-5472,female,group D,high school,1,1,53,41,73,64,231,C
std-5473,female,group B,bachelor's degree,1,0,52,72,76,69,269,B
std-5474,female,group E,some high school,1,1,51,89,85,68,293,B
std-5475,female,group A,some high school,1,1,62,86,90,59,297,B
std-5476,female,group B,some high school,0,1,74,66,89,59,288,B
std-5477,female,group A,high school,1,0,55,85,70,45,255,B
std-5478,female,group D,associate's degree,1,0,49,76,75,88,288,B
std-5479,female,group C,some high school,1,0,33,79,81,59,252,B
std-5480,female,group E,master's degree,1,1,84,67,78,59,288,B
std-5481,female,group A,some college,0,0,32,73,74,93,272,B
std-5482,female,group C,high school,1,1,89,80,75,90,334,A
std-5483,female,group D,master's degree,1,0,70,98,69,72,309,B
std-5484,female,group C,some college,0,1,49,54,100,77,280,B
std-5485,female,group B,some college,0,1,67,78,81,25,251,B
std-5486,female,group C,high school,1,1,51,65,34,70,220,C
std-5487,female,group A,some high school,1,1,71,63,57,45,236,C
std-5488,female,group E,some high school,1,1,61,55,98,65,279,B
std-5489,female,group A,bachelor's degree,1,0,81,79,77,65,302,B
std-5490,female,group B,some college,1,1,72,74,91,39,276,B
std-5491,female,group D,some college,1,0,44,41,70,79,234,C
std-5492,female,group A,some high school,0,0,72,66,62,58,258,B
std-5493,female,group C,master's degree,0,1,44,83,56,72,255,B
std-5494,female,group C,bachelor's degree,1,0,60,100,80,85,325,A
std-5495,female,group D,some college,1,1,67,50,96,68,281,B
std-5496,female,group C,bachelor's degree,0,0,27,100,74,88,289,B
std-5497,female,group C,high school,1,1,64,51,82,60,257,B
std-5498,female,group C,some high school,1,0,60,61,65,94,280,B
std-5499,female,group C,high school,1,0,90,88,82,54,314,B
std-5500,female,group C,high school,0,0,71,76,67,94,308,B
std-5501,female,group E,some college,1,1,76,48,100,55,279,B
std-5502,female,group C,some high school,1,1,60,64,78,78,280,B
std-5503,female,group C,high school,1,1,84,84,97,82,347,A
std-5504,female,group B,high school,1,0,83,75,56,41,255,B
std-5505,female,group D,master's degree,1,0,95,47,88,100,330,A
std-5506,female,group C,some college,0,0,94,56,82,39,271,B
std-5507,female,group B,some college,1,0,78,85,86,42,291,B
std-5508,female,group C,high school,0,0,50,68,69,69,256,B
std-5509,female,group E,some high school,1,1,35,52,85,81,253,B
std-5510,female,group C,some college,0,0,55,100,30,60,245,C
std-5511,female,group C,some high school,1,1,64,69,57,79,269,B
std-5512,female,group E,some college,0,0,40,99,100,84,323,A
std-5513,female,group D,some high school,1,0,82,65,90,71,308,B
std-5514,female,group E,high school,1,1,53,68,100,63,284,B
std-5515,female,group B,some high school,0,0,96,61,85,68,310,B
std-5516,female,group C,some college,0,0,66,90,81,87,324,A
std-5517,female,group B,some college,1,0,75,30,55,90,250,B
std-5518,female,group C,high school,1,0,82,90,69,65,306,B
std-5519,female,group C,some high school,0,1,74,69,80,75,298,B
std-5520,female,group D,bachelor's degree,1,0,75,66,93,74,308,B
std-5521,female,group D,some high school,1,1,62,83,89,52,286,B
std-5522,female,group B,associate's degree,1,1,75,37,100,62,274,B
std-5523,female,group E,some college,0,0,72,42,79,83,276,B
std-5524,female,group D,high school,1,1,70,23,100,98,291,B
std-5525,female,group C,some high school,1,1,64,69,69,78,280,B
std-5526,female,group C,master's degree,0,1,70,72,59,81,282,B
std-5527,female,group E,some high school,0,0,68,66,57,80,271,B
std-5528,female,group D,bachelor's degree,1,1,57,70,54,66,247,C
std-5529,female,group C,some college,1,0,53,23,100,70,246,C
std-5530,female,group C,some college,1,0,66,61,55,79,261,B
std-5531,female,group B,associate's degree,0,0,78,58,83,43,262,B
std-5532,female,group A,some high school,1,1,36,78,100,99,313,B
std-5533,female,group C,some college,1,1,75,97,93,90,355,A
std-5534,female,group C,some college,1,1,56,82,90,52,280,B
std-5535,female,group C,master's degree,1,0,44,33,66,36,179,D
std-5536,female,group E,high school,1,0,92,63,76,75,306,B
std-5537,female,group C,some high school,1,0,27,97,99,84,307,B
std-5538,female,group E,some college,1,0,77,65,73,81,296,B
std-5539,female,group B,some high school,1,0,65,79,94,83,321,A
std-5540,female,group A,associate's degree,1,0,82,69,40,78,269,B
std-5541,female,group A,some high school,1,1,50,53,92,87,282,B
std-5542,female,group D,associate's degree,1,0,28,45,100,78,251,B
std-5543,female,group E,high school,0,0,67,100,42,69,278,B
std-5544,female,group D,associate's degree,0,1,41,51,82,76,250,B
std-5545,female,group E,high school,1,0,53,95,80,81,309,B
std-5546,female,group D,high school,1,1,69,79,88,68,304,B
std-5547,female,group C,bachelor's degree,1,1,38,87,66,75,266,B
std-5548,female,group C,some high school,0,1,63,49,73,61,246,C
std-5549,female,group A,high school,1,1,58,80,82,76,296,B
std-5550,female,group B,some high school,1,0,52,52,49,84,237,C
std-5551,female,group D,high school,1,0,77,97,81,74,329,A
std-5552,female,group C,high school,1,1,69,64,100,84,317,B
std-5553,female,group C,master's degree,0,0,75,90,38,68,271,B
std-5554,female,group C,high school,1,1,35,58,64,53,210,C
std-5555,female,group D,some high school,0,0,42,72,88,74,276,B
std-5556,female,group E,high school,1,0,76,56,78,66,276,B
std-5557,female,group D,associate's degree,1,1,47,59,87,90,283,B
std-5558,female,group C,some college,0,1,63,40,98,81,282,B
std-5559,female,group B,associate's degree,1,0,68,44,82,70,264,B
std-5560,female,group B,master's degree,1,1,59,66,84,91,300,B
std-5561,female,group C,high school,0,0,31,62,67,44,204,C
std-5562,female,group D,associate's degree,1,0,65,82,97,66,310,B
std-5563,female,group D,associate's degree,1,1,52,36,59,73,220,C
std-5564,female,group E,some high school,0,0,87,70,84,73,314,B
std-5565,female,group A,high school,0,0,44,76,81,37,238,C
std-5566,female,group E,bachelor's degree,1,0,49,50,100,61,260,B
std-5567,female,group C,some high school,1,0,46,100,80,81,307,B
std-5568,female,group B,some college,1,0,71,62,69,48,250,B
std-5569,female,group E,some college,1,0,84,78,99,77,338,A
std-5570,female,group D,some high school,0,0,94,56,33,34,217,C
std-5571,female,group D,high school,1,1,35,51,100,90,276,B
std-5572,female,group C,associate's degree,1,0,60,96,76,85,317,B
std-5573,female,group D,some high school,0,0,78,63,76,62,279,B
std-5574,female,group D,master's degree,1,1,58,69,77,70,274,B
std-5575,female,group B,some high school,0,1,72,34,71,92,269,B
std-5576,female,group C,associate's degree,0,1,59,68,96,84,307,B
std-5577,female,group D,some college,1,1,89,71,100,64,324,A
std-5578,female,group C,master's degree,1,0,47,84,100,81,312,B
std-5579,female,group E,high school,1,0,74,82,70,85,311,B
std-5580,female,group D,associate's degree,0,1,95,55,74,28,252,B
std-5581,female,group C,master's degree,1,0,84,71,56,97,308,B
std-5582,female,group C,some high school,1,1,85,94,89,50,318,B
std-5583,female,group D,high school,1,0,28,77,87,65,257,B
std-5584,female,group E,high school,1,0,71,60,82,74,287,B
std-5585,female,group C,some college,1,1,74,74,82,35,265,B
std-5586,female,group D,some high school,0,0,96,40,100,57,293,B
std-5587,female,group D,some high school,1,1,64,51,73,58,246,C
std-5588,female,group C,high school,0,0,100,72,72,84,328,A
std-5589,female,group B,some high school,1,0,72,79,93,48,292,B
std-5590,female,group B,associate's degree,1,1,75,52,83,47,257,B
std-5591,female,group D,some high school,1,1,63,72,79,94,308,B
std-5592,female,group E,high school,1,1,91,60,79,61,291,B
std-5593,female,group D,high school,0,0,76,48,60,57,241,C
std-5594,female,group B,some high school,1,0,42,60,98,95,295,B
std-5595,female,group D,high school,1,0,88,63,78,65,294,B
std-5596,female,group A,some college,1,0,64,46,63,61,234,C
std-5597,female,group A,master's degree,1,1,62,67,100,100,329,A
std-5598,female,group A,some high school,1,0,83,34,30,50,197,D
std-5599,female,group C,bachelor's degree,0,0,54,54,75,66,249,C
std-5600,female,group C,some college,1,0,50,100,70,77,297,B
std-5601,female,group D,some high school,1,0,68,74,92,75,309,B
std-5602,female,group A,some high school,1,1,73,71,90,61,295,B
std-5603,female,group A,high school,1,0,83,41,83,67,274,B
std-5604,female,group B,some high school,1,1,78,32,100,99,309,B
std-5605,female,group D,associate's degree,0,0,99,41,80,56,276,B
std-5606,female,group E,high school,1,1,82,67,67,59,275,B
std-5607,female,group B,master's degree,1,1,76,65,68,74,283,B
std-5608,female,group C,master's degree,1,0,60,66,93,60,279,B
std-5609,female,group B,some college,1,0,85,72,97,69,323,A
std-5610,female,group C,high school,1,1,46,73,100,61,280,B
std-5611,female,group B,master's degree,1,0,70,51,48,80,249,C
std-5612,female,group A,bachelor's degree,0,1,94,74,88,82,338,A
std-5613,female,group C,bachelor's degree,0,1,66,94,95,77,332,A
std-5614,female,group D,some college,0,0,37,45,85,96,263,B
std-5615,female,group E,associate's degree,1,0,74,77,66,56,273,B
std-5616,female,group C,some college,1,0,87,94,91,94,366,A
std-5617,female,group B,associate's degree,1,0,59,65,96,85,305,B
std-5618,female,group D,some college,0,1,33,92,75,85,285,B
std-5619,female,group B,some high school,1,0,55,49,74,35,213,C
std-5620,female,group C,some high school,1,0,31,90,87,90,298,B
std-5621,female,group B,some college,1,0,53,79,59,67,258,B
std-5622,female,group E,bachelor's degree,1,1,63,67,88,81,299,B
std-5623,female,group D,bachelor's degree,1,1,75,88,79,62,304,B
std-5624,female,group E,associate's degree,1,0,78,51,67,78,274,B
std-5625,female,group A,some high school,1,0,57,51,51,66,225,C
std-5626,female,group B,high school,1,0,58,54,85,52,249,C
std-5627,female,group B,high school,1,1,95,85,77,73,330,A
std-5628,female,group C,some high school,1,1,61,92,48,49,250,B
std-5629,female,group B,associate's degree,1,0,82,78,97,79,336,A
std-5630,female,group B,some high school,1,0,53,84,67,90,294,B
std-5631,female,group C,high school,1,0,49,63,67,58,237,C
std-5632,female,group A,high school,1,0,70,93,75,60,298,B
std-5633,female,group C,associate's degree,1,1,35,50,100,96,281,B
std-5634,female,group D,bachelor's degree,1,1,58,56,88,50,252,B
std-5635,female,group D,some high school,1,0,48,45,74,46,213,C
std-5636,female,group C,bachelor's degree,1,1,75,85,81,98,339,A
std-5637,female,group B,some college,1,1,74,78,93,90,335,A
std-5638,female,group D,bachelor's degree,1,1,50,37,93,82,262,B
std-5639,female,group A,some college,1,0,38,55,62,70,225,C
std-5640,female,group D,some college,0,0,86,44,58,62,250,B
std-5641,female,group B,bachelor's degree,1,1,78,41,56,87,262,B
std-5642,female,group C,some college,1,1,93,79,61,62,295,B
std-5643,female,group B,associate's degree,0,0,61,88,87,71,307,B
std-5644,female,group B,some high school,0,0,63,96,87,46,292,B
std-5645,female,group D,high school,1,1,48,63,57,54,222,C
std-5646,female,group D,some college,1,0,90,94,50,80,314,B
std-5647,female,group A,some high school,1,1,71,84,73,75,303,B
std-5648,female,group C,associate's degree,0,0,81,50,100,63,294,B
std-5649,female,group C,some college,0,0,84,66,84,81,315,B
std-5650,female,group D,associate's degree,1,1,50,74,64,52,240,C
std-5651,female,group B,some college,1,0,57,45,47,74,223,C
std-5652,female,group B,some college,0,0,79,44,69,100,292,B
std-5653,female,group E,some high school,1,0,92,72,76,52,292,B
std-5654,female,group D,some high school,1,0,100,56,86,48,290,B
std-5655,female,group E,bachelor's degree,0,0,72,78,42,58,250,B
std-5656,female,group D,bachelor's degree,1,0,48,71,81,63,263,B
std-5657,female,group C,some college,1,0,87,58,67,79,291,B
std-5658,female,group D,some college,1,0,62,80,56,67,265,B
std-5659,female,group D,high school,0,0,45,78,96,37,256,B
std-5660,female,group C,some high school,0,0,27,79,71,42,219,C
std-5661,female,group D,high school,1,0,63,71,100,51,285,B
std-5662,female,group C,high school,1,0,75,79,77,84,315,B
std-5663,female,group C,some college,0,1,62,43,95,95,295,B
std-5664,female,group B,associate's degree,1,0,66,89,67,67,289,B
std-5665,female,group C,high school,1,1,27,43,78,100,248,C
std-5666,female,group C,some college,0,0,32,79,40,53,204,C
std-5667,female,group D,some college,0,1,72,62,53,57,244,C
std-5668,female,group B,associate's degree,1,1,65,89,52,72,278,B
std-5669,female,group D,some college,1,0,28,58,79,78,243,C
std-5670,female,group A,associate's degree,0,0,70,65,78,36,249,C
std-5671,female,group A,master's degree,0,0,30,81,82,56,249,C
std-5672,female,group C,associate's degree,1,0,89,41,61,90,281,B
std-5673,female,group E,high school,1,1,77,66,58,83,284,B
std-5674,female,group E,some college,0,0,78,77,82,45,282,B
std-5675,female,group D,high school,1,0,51,81,67,69,268,B
std-5676,female,group D,some high school,0,1,27,77,74,61,239,C
std-5677,female,group C,high school,1,1,80,44,73,79,276,B
std-5678,female,group E,master's degree,1,0,66,46,52,91,255,B
std-5679,female,group D,associate's degree,1,0,60,53,100,75,288,B
std-5680,female,group C,some college,1,0,79,60,83,100,322,A
std-5681,female,group D,bachelor's degree,0,0,62,72,58,44,236,C
std-5682,female,group E,associate's degree,1,0,70,80,100,61,311,B
std-5683,female,group C,bachelor's degree,0,1,27,100,100,51,278,B
std-5684,female,group E,some high school,1,0,78,23,63,74,238,C
std-5685,female,group C,high school,0,0,76,58,53,73,260,B
std-5686,female,group A,high school,1,0,50,40,74,100,264,B
std-5687,female,group D,some college,1,1,63,86,87,69,305,B
std-5688,female,group E,some high school,0,0,59,74,61,100,294,B
std-5689,female,group C,some high school,1,0,95,68,69,45,277,B
std-5690,female,group A,high school,1,0,56,60,89,87,292,B
std-5691,female,group C,some college,1,1,37,57,98,67,259,B
std-5692,female,group B,high school,1,0,46,76,90,98,310,B
std-5693,female,group C,master's degree,0,1,74,84,84,79,321,A
std-5694,female,group C,some high school,0,1,65,70,100,89,324,A
std-5695,female,group D,bachelor's degree,1,1,77,78,88,83,326,A
std-5696,female,group C,some college,0,1,56,90,100,61,307,B
std-5697,female,group E,bachelor's degree,0,0,48,59,57,83,247,C
std-5698,female,group C,bachelor's degree,0,0,63,64,81,80,288,B
std-5699,female,group B,some college,1,0,75,67,78,77,297,B
std-5700,female,group B,high school,1,0,72,43,62,38,215,C
std-5701,female,group D,some college,1,0,77,86,49,74,286,B
std-5702,female,group C,associate's degree,0,1,50,89,91,79,309,B
std-5703,female,group C,some college,1,1,57,46,98,70,271,B
std-5704,female,group C,some high school,1,1,51,60,79,82,272,B
std-5705,female,group A,master's degree,1,0,68,50,65,63,246,C
std-5706,female,group E,high school,1,1,76,45,82,87,290,B
std-5707,female,group A,associate's degree,1,0,62,95,91,55,303,B
std-5708,female,group E,high school,1,0,92,62,83,68,305,B
std-5709,female,group E,some high school,1,0,81,81,62,98,322,A
std-5710,female,group E,bachelor's degree,0,0,74,63,54,77,268,B
std-5711,female,group C,bachelor's degree,1,0,69,90,68,91,318,B
std-5712,female,group E,some college,0,0,49,75,51,100,275,B
std-5713,female,group C,associate's degree,1,1,27,97,83,66,273,B
std-5714,female,group E,some high school,1,1,62,80,70,60,272,B
std-5715,female,group B,some college,1,1,70,54,84,58,266,B
std-5716,female,group C,associate's degree,1,1,53,67,65,53,238,C
std-5717,female,group B,bachelor's degree,1,0,85,39,61,72,257,B
std-5718,female,group A,high school,1,0,27,86,94,61,268,B
std-5719,female,group D,bachelor's degree,0,1,27,46,80,82,235,C
std-5720,female,group D,associate's degree,0,1,47,78,99,66,290,B
std-5721,female,group C,bachelor's degree,1,0,62,42,77,94,275,B
std-5722,female,group D,some college,1,1,45,83,58,93,279,B
std-5723,female,group B,bachelor's degree,0,1,68,68,97,49,282,B
std-5724,female,group C,bachelor's degree,1,0,46,90,70,72,278,B
std-5725,female,group C,high school,1,1,59,33,58,73,223,C
std-5726,female,group D,bachelor's degree,0,0,50,37,75,56,218,C
std-5727,female,group C,some college,1,1,74,26,78,85,263,B
std-5728,female,group E,some college,0,0,62,95,60,92,309,B
std-5729,female,group A,high school,0,1,64,100,67,50,281,B
std-5730,female,group A,master's degree,1,0,70,72,96,96,334,A
std-5731,female,group A,associate's degree,0,1,59,58,71,87,275,B
std-5732,female,group D,some college,1,0,69,99,90,65,323,A
std-5733,female,group C,some high school,1,0,76,48,56,71,251,B
std-5734,female,group D,associate's degree,0,0,75,38,29,53,195,D
std-5735,female,group C,some college,1,1,62,75,45,55,237,C
std-5736,female,group A,some high school,1,1,85,89,86,66,326,A
std-5737,female,group C,high school,1,0,67,70,85,83,305,B
std-5738,female,group C,associate's degree,1,0,76,41,76,58,251,B
std-5739,female,group B,some high school,0,0,44,76,75,41,236,C
std-5740,female,group C,some college,1,1,45,52,70,71,238,C
std-5741,female,group D,some college,1,1,32,59,87,59,237,C
std-5742,female,group D,associate's degree,1,0,82,81,61,41,265,B
std-5743,female,group C,high school,1,0,61,91,85,52,289,B
std-5744,female,group C,some high school,0,0,27,34,60,64,185,D
std-5745,female,group C,some college,1,0,31,57,96,89,273,B
std-5746,female,group E,some high school,1,1,54,65,76,86,281,B
std-5747,female,group C,master's degree,1,1,100,77,71,71,319,B
std-5748,female,group C,bachelor's degree,1,1,87,45,33,57,222,C
std-5749,female,group B,associate's degree,1,0,78,63,52,39,232,C
std-5750,female,group C,high school,1,1,37,53,100,83,273,B
std-5751,female,group B,high school,1,0,52,56,87,84,279,B
std-5752,female,group E,associate's degree,1,1,58,78,96,51,283,B
std-5753,female,group C,some high school,0,1,49,26,63,57,195,D
std-5754,female,group E,some high school,1,1,58,74,89,63,284,B
std-5755,female,group E,some college,1,0,76,98,96,85,355,A
std-5756,female,group B,some college,0,0,35,92,42,77,246,C
std-5757,female,group C,some high school,1,1,64,68,80,82,294,B
std-5758,female,group B,high school,1,0,70,67,75,98,310,B
std-5759,female,group B,some high school,0,0,64,85,81,59,289,B
std-5760,female,group D,some college,0,0,84,87,86,72,329,A
std-5761,,group E,some college,0,0,69,49,77,95,290,B
std-5762,female,group E,high school,1,1,84,93,68,45,290,B
std-5763,female,group C,,1,1,33,49,96,73,251,B
std-5764,female,group B,high school,,1,60,50,53,75,238,C
std-5765,female,group B,some high school,1,,59,80,87,64,290,B
std-5766,female,group D,some college,0,0,,70,93,54,267,B
std-5767,female,group B,bachelor's degree,0,1,79,,47,57,249,C
std-5768,female,group C,some college,1,0,75,33,,23,213,C
std-5769,female,group C,some college,1,1,55,67,100,70,292,B
std-5770,female,group B,some high school,0,0,69,80,73,,,B
std-5771,female,group A,some high school,0,0,43,92,85,30,250,B
std-5772,female,group B,high school,1,0,99,62,100,54,315,B
std-5773,female,group E,associate's degree,1,1,52,98,73,58,281,B
std-5774,female,group D,bachelor's degree,0,1,38,82,72,72,264,B
std-5775,female,group E,associate's degree,0,1,64,82,72,65,283,B
std-5776,female,group C,master's degree,1,0,54,52,89,84,279,B
std-5777,female,group E,associate's degree,1,0,71,85,93,85,334,A
std-5778,female,group B,high school,0,1,68,42,55,50,215,C
std-5779,female,group D,high school,0,1,60,79,68,61,268,B
std-5780,female,group D,some high school,1,0,40,69,81,77,267,B
std-5781,female,group D,high school,1,1,76,46,100,71,293,B
std-5782,female,group E,some high school,0,1,86,85,85,70,326,A
std-5783,female,group B,associate's degree,1,0,63,88,48,68,267,B
std-5784,female,group D,high school,1,0,53,32,88,75,248,C
std-5785,female,group C,associate's degree,0,0,72,81,78,81,312,B
std-5786,female,group E,high school,0,0,45,77,77,93,292,B
std-5787,female,group D,associate's degree,1,0,72,52,85,83,292,B
std-5788,female,group D,associate's degree,0,0,69,50,100,99,318,B
std-5789,female,group B,bachelor's degree,0,0,58,71,77,67,273,B
std-5790,female,group E,some high school,0,0,64,36,95,66,261,B
std-5791,female,group C,high school,1,1,27,86,94,56,263,B
std-5792,female,group B,some high school,1,1,63,92,82,64,301,B
std-5793,female,group E,high school,0,1,35,80,68,55,238,C
std-5794,female,group E,associate's degree,0,0,83,65,100,79,327,A
std-5795,female,group A,bachelor's degree,0,0,66,74,59,58,257,B
std-5796,female,group D,some college,1,0,50,83,59,38,230,C
std-5797,female,group A,associate's degree,0,0,61,88,92,65,306,B
std-5798,female,group D,high school,1,0,63,43,64,46,216,C
std-5799,female,group B,bachelor's degree,0,0,33,55,100,53,241,C
std-5800,female,group B,bachelor's degree,1,1,71,100,38,59,268,B
std-5801,female,group E,high school,0,1,78,47,88,85,298,B
std-5802,female,group A,associate's degree,1,1,89,64,90,82,325,A
std-5803,female,group D,associate's degree,1,0,78,100,58,87,323,A
std-5804,female,group D,high school,1,0,42,29,35,78,184,D
std-5805,female,group B,some college,0,0,60,65,72,41,238,C
std-5806,female,group B,some high school,1,1,31,62,61,62,216,C
std-5807,female,group B,high school,1,1,78,43,68,84,273,B
std-5808,female,group E,some high school,1,1,69,52,83,44,248,C
std-5809,female,group D,high school,1,1,89,81,45,61,276,B
std-5810,female,group C,associate's degree,1,0,93,42,71,90,296,B
std-5811,female,group E,some college,1,1,27,61,75,87,250,B
std-5812,female,group C,high school,1,0,47,72,60,62,241,C
std-5813,female,group B,some college,1,0,27,62,100,47,236,C
std-5814,female,group D,bachelor's degree,1,0,71,35,79,54,239,C
std-5815,female,group C,associate's degree,1,0,87,84,82,37,290,B
std-5816,female,group D,high school,1,0,39,82,67,36,224,C
std-5817,female,group C,some high school,1,1,28,51,65,90,234,C
std-5818,female,group D,high school,0,0,49,65,43,86,243,C
std-5819,female,group C,bachelor's degree,1,1,57,60,72,67,256,B
std-5820,female,group E,some high school,1,0,89,64,89,46,288,B
std-5821,female,group D,associate's degree,0,0,59,61,52,65,237,C
std-5822,female,group D,some college,1,0,81,86,66,46,279,B
std-5823,female,group D,some college,1,1,78,54,38,49,219,C
std-5824,female,group D,some high school,1,1,70,93,71,81,315,B
std-5825,female,group C,bachelor's degree,1,0,94,62,73,65,294,B
std-5826,female,group D,high school,1,0,63,54,92,59,268,B
std-5827,female,group D,some college,1,0,27,100,73,70,270,B
std-5828,female,group D,bachelor's degree,0,1,90,51,100,70,311,B
std-5829,female,group C,bachelor's degree,0,1,87,59,92,67,305,B
std-5830,female,group C,bachelor's degree,1,1,48,88,61,72,269,B
std-5831,female,group B,bachelor's degree,1,0,87,64,56,76,283,B
std-5832,female,group C,high school,1,0,51,45,53,68,217,C
std-5833,female,group B,some college,0,1,47,65,66,56,234,C
std-5834,female,group D,high school,1,0,47,62,75,48,232,C
std-5835,female,group B,bachelor's degree,1,0,95,84,88,50,317,B
std-5836,female,group B,associate's degree,1,1,67,100,69,91,327,A
std-5837,female,group D,some college,1,0,61,61,72,71,265,B
std-5838,female,group B,some college,0,1,80,79,66,71,296,B
std-5839,female,group B,some high school,1,0,81,58,69,100,308,B
std-5840,female,group A,high school,0,1,27,99,32,77,235,C
std-5841,female,group A,associate's degree,0,1,64,61,71,52,248,C
std-5842,female,group D,some high school,1,0,63,78,85,87,313,B
std-5843,female,group E,associate's degree,1,0,40,52,83,31,206,C
std-5844,female,group B,bachelor's degree,0,1,37,76,52,94,259,B
std-5845,female,group C,associate's degree,0,1,27,63,86,50,226,C
std-5846,female,group C,bachelor's degree,0,0,43,50,90,65,248,C
std-5847,female,group C,bachelor's degree,1,0,56,88,67,78,289,B
std-5848,female,group C,some high school,1,0,76,74,100,69,319,B
std-5849,female,group D,some college,0,0,66,56,100,75,297,B
std-5850,female,group C,some high school,0,0,57,68,79,81,285,B
std-5851,female,group B,high school,1,1,60,56,64,53,233,C
std-5852,female,group C,bachelor's degree,1,0,72,72,100,50,294,B
std-5853,female,group C,some college,1,0,71,86,93,43,293,B
std-5854,female,group C,high school,1,0,45,75,100,99,319,B
std-5855,female,group C,bachelor's degree,0,0,34,81,56,46,217,C
std-5856,female,group C,some college,0,1,30,68,100,59,257,B
std-5857,female,group D,high school,0,0,60,68,72,60,260,B
std-5858,female,group A,some high school,1,1,49,43,74,73,239,C
std-5859,female,group C,some high school,0,1,43,73,100,79,295,B
std-5860,female,group D,bachelor's degree,1,1,61,55,57,82,255,B
std-5861,female,group C,master's degree,0,1,58,100,84,52,294,B
std-5862,female,group E,some high school,1,1,63,51,80,100,294,B
std-5863,female,group B,master's degree,1,0,70,68,84,68,290,B
std-5864,female,group E,some college,0,0,31,77,100,86,294,B
std-5865,female,group D,associate's degree,0,0,75,58,100,58,291,B
std-5866,female,group C,high school,0,0,40,57,70,72,239,C
std-5867,female,group A,associate's degree,1,1,35,48,96,46,225,C
std-5868,female,group C,some high school,1,0,79,63,86,66,294,B
std-5869,female,group B,high school,1,1,100,80,53,71,304,B
std-5870,female,group A,master's degree,0,1,52,88,52,36,228,C
std-5871,female,group E,bachelor's degree,1,0,53,80,68,55,256,B
std-5872,female,group C,some college,0,1,96,26,82,69,273,B
std-5873,female,group C,some high school,1,1,59,64,62,83,268,B
std-5874,female,group B,associate's degree,0,0,67,72,95,55,289,B
std-5875,female,group C,high school,1,1,65,100,70,65,300,B
std-5876,female,group C,bachelor's degree,1,0,68,69,98,61,296,B
std-5877,female,group D,some high school,0,1,45,57,100,40,242,C
std-5878,female,group E,high school,0,0,57,61,98,60,276,B
std-5879,female,group C,bachelor's degree,0,1,59,83,100,84,326,A
std-5880,female,group A,master's degree,1,0,52,95,76,83,306,B
std-5881,female,group C,some high school,1,1,81,96,100,60,337,A
std-5882,female,group A,master's degree,1,1,43,52,70,97,262,B
std-5883,female,group D,bachelor's degree,0,1,44,60,100,96,300,B
std-5884,female,group A,some college,0,1,63,66,93,91,313,B
std-5885,female,group D,high school,0,0,64,98,65,79,306,B
std-5886,female,group C,high school,0,0,70,100,82,57,309,B
std-5887,female,group C,associate's degree,0,0,76,100,44,94,314,B
std-5888,female,group C,bachelor's degree,1,0,70,100,67,52,289,B
std-5889,female,group B,bachelor's degree,0,0,63,60,89,69,281,B
std-5890,female,group B,associate's degree,1,0,51,85,61,77,274,B
std-5891,female,group C,high school,1,0,45,55,86,74,260,B
std-5892,female,group D,associate's degree,1,1,28,100,61,100,289,B
std-5893,female,group A,some high school,0,0,36,49,66,84,235,C
std-5894,female,group C,some high school,1,1,56,98,83,82,319,B
std-5895,female,group D,associate's degree,1,1,54,35,65,71,225,C
std-5896,female,group E,some college,1,1,83,94,97,69,343,A
std-5897,female,group C,some high school,1,1,59,64,75,75,273,B
std-5898,female,group D,high school,0,1,37,89,100,50,276,B
std-5899,female,group C,some high school,1,1,30,99,49,57,235,C
std-5900,female,group A,some college,0,0,100,82,99,61,342,A
std-5901,female,group C,some high school,1,0,100,81,55,65,301,B
std-5902,female,group C,some high school,1,0,90,88,59,67,304,B
std-5903,female,group C,high school,1,1,86,81,73,48,288,B
